cohort,subject,cage,sex,genotype,genotype_alt,Age,day,Date,Time,latency_slope,latency_slope_sign,num_shocks,latency_first_shock,latency_resample,max_cons_avoid,max_cons_avoid_slope,max_cons_avoid_slope_sign,max_cons_resample,
3,5462,944260,M,Mutants,mutant,10 Weeks,1,2022-11-03,13:14,2.31,pos,10,92.4,0.3,96.688,,,0.0376225432157234,
3,5462,944260,M,Mutants,mutant,10 Weeks,2,2022-11-04,10:30,2.31,pos,15,80.8,0.0,80.8,,,0.0,
3,5462,944260,M,Mutants,mutant,10 Weeks,3,2022-11-07,10:59,2.31,pos,16,118.9,1.0,118.9,,,0.1,
3,5462,944260,M,Mutants,mutant,10 Weeks,4,2022-11-08,10:52,2.31,pos,1,96.9,0.4,503.1,,,1.0,
3,5462,944260,M,Mutants,mutant,10 Weeks,5,2022-11-09,10:55,2.31,pos,11,95.9,0.4,136.5,50.19,pos,0.1,
3,5465,994261,F,Mutants,mutant,10 Weeks,1,2022-11-03,13:55,-5.27,neg,13,99.4,1.0,114.4,,,1.0,
3,5465,994261,F,Mutants,mutant,10 Weeks,2,2022-11-04,11:10,-5.27,neg,12,78.5,0.4,94,,,0.593625498007968,
3,5465,994261,F,Mutants,mutant,10 Weeks,3,2022-11-07,11:40,-5.27,neg,12,87.9,0.7,87.9,,,0.5,
3,5465,994261,F,Mutants,mutant,10 Weeks,4,2022-11-08,11:33,-5.27,neg,19,64.2,0.0,64.2,,,0.0,
3,5465,994261,F,Mutants,mutant,10 Weeks,5,2022-11-09,11:38,-5.27,neg,20,80.2,0.5,80.2,-9.82,neg,0.3,
3,5470,994257,F,Mutants,mutant,10 Weeks,1,2022-11-03,13:42,9.89,pos,9,85.7,0.0,234.8,,,0.3,
3,5470,994257,F,Mutants,mutant,10 Weeks,2,2022-11-04,10:56,9.89,pos,4,88.2,0.0,278.5,,,0.5,
3,5470,994257,F,Mutants,mutant,10 Weeks,3,2022-11-07,11:27,9.89,pos,1,181.1,1.0,418.9,,,1.0,
3,5470,994257,F,Mutants,mutant,10 Weeks,4,2022-11-08,11:19,9.89,pos,12,152.1,0.7,152.1,,,0.0,
3,5470,994257,F,Mutants,mutant,10 Weeks,5,2022-11-09,11:25,9.89,pos,5,103.2,0.2,159.8,-27.64,neg,0.0,
4,5665,1012164,M,Mutants,mutant,14 Weeks,1,2022-12-30,12:02,-1.28,neg,14,94.8,0.9,94.8,,,0.0125088343642698,
4,5665,1012164,M,Mutants,mutant,14 Weeks,2,2022-12-31,10:29,-1.28,neg,6,88.6,0.3,252.687,,,1,
4,5665,1012164,M,Mutants,mutant,14 Weeks,3,2023-01-03,12:23,-1.28,neg,13,92.8,0.7,92.8,,,0,
4,5665,1012164,M,Mutants,mutant,14 Weeks,4,2023-01-04,11:58,-1.28,neg,11,96.4,1.0,103.296,,,0.0656463627436877,
4,5665,1012164,M,Mutants,mutant,14 Weeks,5,2023-01-05,12:55,-1.28,neg,7,84.5,0.0,115.487,-10.8,neg,0.141893962611094,
4,5666,1012164,M,Mutants,mutant,14 Weeks,1,2022-12-30,12:15,-3.76,neg,5,100.7,0.7,257.423,,,1.000,
4,5666,1012164,M,Mutants,mutant,14 Weeks,2,2022-12-31,10:42,-3.76,neg,16,17.5,0.1,69.504,,,0.000,
4,5666,1012164,M,Mutants,mutant,14 Weeks,3,2023-01-03,12:36,-3.76,neg,14,140.5,1.0,140.5,,,0.377801073866932,
4,5666,1012164,M,Mutants,mutant,14 Weeks,4,2023-01-04,12:12,-3.76,neg,13,10.7,0.0,90.224,,,0.110,
4,5666,1012164,M,Mutants,mutant,14 Weeks,5,2023-01-05,13:08,-3.76,neg,10,85.3,0.6,108.08,-27.8,neg,0.205279934439838,
4,5668,1012164,M,Mutants,mutant,14 Weeks,1,2022-12-30,12:28,6.03,pos,5,100.7,0.4,186.592,,,1.000,
4,5668,1012164,M,Mutants,mutant,14 Weeks,2,2022-12-31,10:54,6.03,pos,12,81.7,-0.0599327007609058,87.631,,,0.000,
4,5668,1012164,M,Mutants,mutant,14 Weeks,3,2023-01-03,12:48,6.03,pos,11,100.9,0.134083123654773,100.9,,,0.134083123654773,
4,5668,1012164,M,Mutants,mutant,14 Weeks,4,2023-01-04,12:25,6.03,pos,15,129.2,0.4200543648508,129.2,,,0.4200543648508,
4,5668,1012164,M,Mutants,mutant,14 Weeks,5,2023-01-05,13:27,6.03,pos,16,107.1,0.196734066955669,107.1,-11.74,neg,0.196734066955669,
