ID,region,region_france,region_morocco,region_UK,region_ghana,region_georgia,group,sex,sex_female,CS_1,CS_2,CS_3,CS_4,CS_5,CS_6,CS_7,CS_8,CS_9,CS_10,CS_11,CS_12,CS_13,CS_14,CS_15,CS_16,CS_mean,CN_1,CN_2,CN_3,CN_4,CN_5,CN_6,CN_7,CN_8,CN_9,CN_10,CN_11,CN_12,CN_13,CN_14,CN_15,CN_16,CN_17,CN_18,CN_19,CN_20,CN_21,CN_22,CN_23,CN_24,CN_25,CN_26,CN_27,CN_28,CN_mean,R_1,R_2,R_3,R_4,R_5,R_6,R_7,R_mean,ATNumSNPs,,,,
B162,UK,0,0,1,0,0,Bergman,M,0,856.29053,805.9002,821.4315,964.6643,812.803,707.5355,838.6885,759.3064,854.2197,919.7962,NaN,NaN,NaN,NaN,NaN,NaN,834.063583,153.23,163.45,204.97,196.22,181.21,173.43,193.26,150.97,193.53,191.31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,180.16,1.26,1.167,1.202,NaN,NaN,NaN,NaN,1.20966666666667,17,,,,
B163,UK,0,0,1,0,0,Bergman,M,0,579.3163,629.8792,576.3826,491.8235,638.5077,469.3894,564.3027,395.1845,491.8235,793.8204,NaN,NaN,NaN,NaN,NaN,NaN,563.0430,163.30,174.86,169.35,172.35,157.99,161.00,174.27,167.50,165.52,188.09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,169.42,1.3,1.187,1.245,NaN,NaN,NaN,NaN,1.244,59,,,,
B164,Ghana,0,0,0,1,0,Bergman,M,0,724.61993,878.3795,681.6501,748.9523,692.0043,595.3653,652.3133,547.0458,1038.869,759.3064,NaN,NaN,NaN,NaN,NaN,NaN,731.850593,213.67,157.73,188.68,201.04,152.70,274.17,174.27,156.04,152.28,167.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,183.81,1.243,1.148,1.328,NaN,NaN,NaN,NaN,1.23966666666667,83,,,,
B165,Ghana,0,0,0,1,0,Bergman,M,0,284.22221,333.0594,350.3164,227.7919,312.3511,310.6254,333.0594,232.969,213.9864,201.9065,NaN,NaN,NaN,NaN,NaN,NaN,280.028771,153.95,159.74,132.48,162.41,153.50,149.84,152.57,142.53,135.13,150.43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,149.26,1.177,1.091,1.216,NaN,NaN,NaN,NaN,1.16133333333333,63,,,,
B166,Ghana,0,0,0,1,0,Bergman,M,0,860.94999,1082.012,885.2823,945.6817,852.494,968.1157,788.6433,831.7857,819.7058,816.2544,NaN,NaN,NaN,NaN,NaN,NaN,885.092489,164.45,165.46,187.00,180.55,164.80,154.32,176.13,178.69,151.73,148.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,167.18,0.898654,0.840402,0.818383,0.820808,0.815803,0.779683,0.828955,0.828955,99,,,,
B167,Ghana,0,0,0,1,0,Bergman,M,0,458.34497,488.3721,488.3721,286.4656,348.5907,381.3789,393.4588,452.1325,421.0699,710.9869,NaN,NaN,NaN,NaN,NaN,NaN,442.917247,126.34,128.75,111.80,131.93,121.32,123.22,121.60,140.52,129.98,128.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,126.35,1.378,1.32,1.326,NaN,NaN,NaN,NaN,1.34133333333333,91,,,,
B168,Ghana,0,0,0,1,0,Bergman,M,0,986.75323,1102.72,971.5671,866.2996,723.0668,1223.519,869.751,897.3621,1130.331,888.7337,NaN,NaN,NaN,NaN,NaN,NaN,966.010353,177.43,159.39,165.28,174.97,176.38,158.25,151.38,193.12,152.66,160.82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,166.97,1.510355,1.462988,1.275959,1.41921,1.235315,1.230745,1.355762,1.355762,70,,,,
B169,Ghana,0,0,0,1,0,Bergman,M,0,1490.31153,1535.87,1553.127,1516.887,1689.457,714.4383,1102.72,1263.21,1704.988,1625.606,NaN,NaN,NaN,NaN,NaN,NaN,1419.661483,100.68,121.86,116.86,102.02,106.02,107.08,123.02,112.65,104.11,91.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,108.57,1.233,1.164,1.533,NaN,NaN,NaN,NaN,1.31,132,,,,
B170,Ghana,0,0,0,1,0,Bergman,M,0,656.62747,624.7021,372.7504,572.9312,429.6984,733.421,840.4142,629.8792,553.9486,769.6606,NaN,NaN,NaN,NaN,NaN,NaN,618.403317,196.72,192.87,243.46,179.52,169.55,175.92,210.93,221.19,169.47,265.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,202.51,1.747374,1.847649,1.519229,1.424459,1.262601,1.370431,1.528624,1.528624,73,,,,
B171,Ghana,0,0,0,1,0,Bergman,M,0,379.13550825869,598.816665,336.510806,353.767771,419.344235,433.149807,248.500288,253.677377,433.149807,353.767771,NaN,NaN,NaN,NaN,NaN,NaN,380.982003525869,142.45,130.55,144.94,120.76,169.90,128.81,138.59,129.49,133.00,144.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,138.25,1.383255,1.359959,1.420179,1.218513,1.313716,1.339124,NaN,1.339124,73,,,,
B172,Ghana,0,0,0,1,0,Bergman,M,0,470.07971,586.7368,521.1603,526.3374,414.1671,445.2297,452.1325,433.1498,402.0873,415.8928,NaN,NaN,NaN,NaN,NaN,NaN,466.697341,126.94,140.44,145.96,135.17,124.61,143.07,131.01,136.04,127.95,135.60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,134.68,1.227,1.023,1.249,NaN,NaN,NaN,NaN,1.16633333333333,64,,,,
B174,Ghana,0,0,0,1,0,Bergman,M,0,1843.9067,1539.321,1435.779,2063.933,1710.165,1962.117,2001.808,2680.007,1634.235,1508.259,NaN,NaN,NaN,NaN,NaN,NaN,1837.95307,77.65,78.08,86.98,64.17,95.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80.39,1.163,1.287,1.249,NaN,NaN,NaN,NaN,1.233,85,,,,
B176,Ghana,0,0,0,1,0,Bergman,M,0,405.19352,452.1325,457.3096,395.1845,276.1114,374.4761,322.7052,469.3894,429.6984,295.0941,NaN,NaN,NaN,NaN,NaN,NaN,387.729472,157.87,145.66,164.23,134.15,162.18,161.13,160.31,151.90,164.21,147.89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,154.95,1.226,1.375,1.353,NaN,NaN,NaN,NaN,1.318,115,,,,
B177,Ghana,0,0,0,1,0,Bergman,M,0,814.18357,669.5702,899.0878,928.4247,843.8656,534.9659,852.494,854.2197,897.3621,942.2303,NaN,NaN,NaN,NaN,NaN,NaN,823.640387,162.99,194.90,190.15,169.16,153.99,154.37,179.06,182.53,194.11,181.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,176.29,0.93,0.919,NaN,NaN,NaN,NaN,NaN,0.9245,79,,,,
B178,Ghana,0,0,0,1,0,Bergman,M,0,422.62305,509.0805,364.1219,417.6185,422.7956,374.4761,474.5665,495.2749,446.9554,346.865,NaN,NaN,NaN,NaN,NaN,NaN,427.437745,120.85,136.73,137.66,113.10,125.46,139.19,135.68,122.08,137.52,120.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,128.83,0.843,0.996,0.993,NaN,NaN,NaN,NaN,0.944,65,,,,
B180,Ghana,0,0,0,1,0,Bergman,M,0,1025.40893,1119.977,973.2928,1085.463,652.3133,902.5392,1133.783,1240.776,1144.137,1052.675,NaN,NaN,NaN,NaN,NaN,NaN,1033.036523,213.17,203.07,195.40,176.24,192.88,179.09,212.73,196.75,199.94,215.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,198.43,1.445,1.319,1.617,NaN,NaN,NaN,NaN,1.46033333333333,58,,,,
B181,Ghana,0,0,0,1,0,Bergman,M,0,761.54988,576.3826,557.4,448.6811,484.9207,724.7925,857.6711,940.5046,647.1362,1171.748,NaN,NaN,NaN,NaN,NaN,NaN,717.078668,169.09,175.21,163.54,140.14,142.69,155.76,162.87,149.85,132.84,115.68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,150.77,1.42925,1.463661,1.370606,1.405142,1.404141,1.41456,NaN,1.41456,106,,,,
B182,Ghana,0,0,0,1,0,Bergman,M,0,796.58147,712.7126,742.0495,700.6328,788.6433,652.3133,881.8309,704.0841,1130.331,821.4315,NaN,NaN,NaN,NaN,NaN,NaN,793.061047,226.63,186.17,253.81,232.18,244.15,NaN,NaN,214.93,212.32,207.71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,222.24,1.305,1.536,1.37,NaN,NaN,NaN,NaN,1.40366666666667,91,,,,
B183,Ghana,0,0,0,1,0,Bergman,M,0,756.20015,752.4036,407.2644,553.9486,662.6674,704.0841,843.8656,1075.109,1009.532,771.3863,NaN,NaN,NaN,NaN,NaN,NaN,753.646115,187.94,165.54,161.70,191.13,177.78,184.27,183.24,191.17,158.24,165.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,176.66,1.943,1.802,1.84,NaN,NaN,NaN,NaN,1.86166666666667,145,,,,
B184,Georgia,0,0,0,0,1,Bergman,M,0,396.04731,521.1603,528.0631,415.8928,422.7956,353.7678,376.2018,229.5176,415.8928,269.2086,NaN,NaN,NaN,NaN,NaN,NaN,392.854771,184.17,189.81,166.19,186.21,171.86,185.74,147.77,154.04,180.30,180.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,174.65,1.445255,1.414618,1.494754,1.285327,1.191936,1.227186,1.343179,1.343179,154,,,,
B185,Georgia,0,0,0,0,1,Bergman,M,0,725.82796,812.803,1151.04,488.3721,814.5287,497.0006,262.3059,1011.258,783.4662,855.9454,NaN,NaN,NaN,NaN,NaN,NaN,740.254786,169.69,165.42,151.26,183.35,162.42,193.03,172.87,166.89,169.04,158.23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,169.22,1.747374,1.847649,1.519229,1.466179,1.675368,1.609032,1.644139,1.644139,81,,,,
B186,Georgia,0,0,0,0,1,Bergman,M,0,922.38479,773.112,897.3621,1152.765,638.5077,748.9523,1054.401,999.1782,1064.755,1142.411,NaN,NaN,NaN,NaN,NaN,NaN,939.382909,244.74,238.35,248.50,244.00,221.99,215.90,236.37,272.22,236.28,244.61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,240.30,1.744233,1.502225,1.206473,1.303048,1.24248,1.399691,NaN,1.39969166666667,81,,,,
B187,Georgia,0,0,0,0,1,Bergman,M,0,951.72153,598.8167,916.3448,479.7436,1145.862,943.956,1085.463,1202.81,976.7442,1090.64,NaN,NaN,NaN,NaN,NaN,NaN,939.210183,158.46,141.74,136.53,157.03,152.08,142.78,148.39,170.38,148.96,158.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,151.44,1.451,1.085,1.2,NaN,NaN,NaN,NaN,1.24533333333333,203,,,,
B188,Georgia,0,0,0,0,1,Bergman,M,0,704.42929,660.9417,505.6291,731.6953,693.73,707.5355,669.5702,781.7405,736.8724,845.5913,NaN,NaN,NaN,NaN,NaN,NaN,703.773529,189.35,136.46,181.93,179.28,214.71,165.94,169.98,175.67,190.53,193.61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,179.75,1.139,1.112,NaN,NaN,NaN,NaN,NaN,1.1255,62,,,,
B189,Georgia,0,0,0,0,1,Bergman,M,0,1483.23616666667,1553.127,1373.654,1207.988,1170.022,NaN,NaN,NaN,NaN,2036.322,NaN,NaN,NaN,NaN,NaN,NaN,1470.72486111111,163.61,147.75,169.12,159.33,155.66,151.60,168.23,165.37,155.96,141.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,157.79,1.322,1.415,1.267,NaN,NaN,NaN,NaN,1.33466666666667,137,,,,
B190,Georgia,0,0,0,0,1,Bergman,M,0,637.81742,585.0111,507.3548,457.3096,616.0736,585.0111,695.4557,683.3758,812.803,695.4557,NaN,NaN,NaN,NaN,NaN,NaN,627.566782,207.21,177.71,188.37,245.73,208.13,209.01,231.38,217.96,252.43,236.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,217.44,1.808588,1.964513,1.682023,1.437425,1.836754,1.517631,1.707822,1.707822,161,,,,
B191,Georgia,0,0,0,0,1,Bergman,M,0,1353.46362,1301.175,1692.908,1392.637,1180.376,1402.991,1670.474,1256.307,1508.259,1539.321,NaN,NaN,NaN,NaN,NaN,NaN,1429.791162,165.56,202.16,193.80,177.82,177.71,179.88,188.86,206.01,198.30,140.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,183.07,1.321,1.231,1.529,NaN,NaN,NaN,NaN,1.36033333333333,115,,,,
